Transcription-Units,Promoter,Absolute-Plus-1-Position,Binds-Sigma-Factor,Genes,Gene left,Gene right,Transcription-Direction
TU00081,PM00111,85600,RPOD-MONOMER,EG10500 // EG10499,85630 // 87357,87354 // 87848,+
TU0-2021,PM0-2201,4238323,RPOD-MONOMER,EG11209,4238348,4238758,+
TU0-6021,PM00220,4366455,RPOD-MONOMER,EG11225 // EG10095,4363495 // 4364914,4364796 // 4366350,-
TU0-2443,PM0-2623,4465370,RPOD-MONOMER,EG12202,4464322,4465269,-
TU00500,PM00653,2464330,RPOD-MONOMER,EG30016,2464331,2464405,+
TU0-13138,PM0-9396,1169640,RPOD-MONOMER,G6571,1168635,1169597,-
TU0-1002,PM0-1162,1830037,RPOD-MONOMER,G6940 // G6941 // G6942 // G6943 // G6944,1823979 // 1824940 // 1826280 // 1827755 // 1828786,1824947 // 1826283 // 1827758 // 1828789 // 1830006,-
TU00516,PM00671,2997086,RPOD-MONOMER,EG30037,2997006,2997079,-
TU00130,PM00174,3845221,RPOD-MONOMER,EG11054,3843799,3845190,-
TU0-3161,PM0-3341,770425,RPOD-MONOMER,EG10174 // EG10173,772265 // 770681,773404 // 772249,+
TU122,PM00360,1078433,RPOD-MONOMER,EG10802,1078528,1080036,+
TU00147,PM00199,2511031,RPOD-MONOMER,EG11971,2511064,2512266,+
TU0-6552,PM179,4231562,RPOD-MONOMER,EG10550,4229907,4231256,-
TU261,PM341,972627,RPOD-MONOMER,EG10618 // EG11252 // EG12165 // EG12167,975549 // 974872 // 973542 // 972760,980009 // 975549 // 974864 // 973545,+
TU00163,PM00225,611890,RPOD-MONOMER,EG10262 // EG10293,608682 // 609477,609302 // 611717,-
TU348,PM204,4638711,RPOD-MONOMER,EG10061,4637613,4638329,-
TU00179,PM00250,83735,RPOD-MONOMER,EG11575 // EG11576 // EG11577 // EG11226 // EG11280,78848 // 79464 // 80867 // 81958 // 83622,79453 // 80864 // 81958 // 83529 // 83708,-
TU0-6654,PM00438,3309348,RPOD-MONOMER,EG10743,3307055,3309190,-
TU0-36424,PM0-10228,3053996,RPOD-MONOMER,EG30099,3054005,3054187,+
TU00195,PM00274,989637,RPOD-MONOMER,EG10742,988377,989579,-
TU00211,PM00297,4275446,RPOD-MONOMER,EG10958,4275083,4275406,-
TU00228,PM00314,3575668,RPOD-MONOMER,EG12631 // EG12629,3573744 // 3575088,3575084 // 3575615,-
TU0-13642,PM0-9565,,RPOD-MONOMER,G0-10463 // EG10208 // EG11147,2590784 // 2589629 // 2589269,2590984 // 2590756 // 2589625,+
TU0-7321,PM0-7661,2510756,RPOD-MONOMER,G7254,2509490,2510728,-
TU0-41795,PM0-44963,1580578,RPOD-MONOMER,G6787 // G6788,1577657 // 1578866,1578814 // 1580548,-
TU621,PM721,4364866,RPOD-MONOMER,EG11225,4363495,4364796,-
TU0-14052,PM0-45926,4019932,RPOD-MONOMER,EG11481 // EG11479 // G7808 // G7806,4021577 // 4020759 // 4020241 // 4019968,4022359 // 4021535 // 4020756 // 4020237,+
TU0-7622,PM0-8002,545635,RPOD-MONOMER,G6284 // G6285 // G6286,542485 // 543281 // 544538,543270 // 544516 // 545587,-
TU796,PM263,131519,RPOD-MONOMER,EG12316,131615,134212,+
TU00277,PM00562,3325782,RPOD-MONOMER,EG11506 // EG11507,3323023 // 3325057,3324957 // 3325686,-
TU0-8081,PM0-8461,3070879,RPOD-MONOMER,EG10282 // EG10703,3068187 // 3069481,3069266 // 3070644,-
TU0-42472,PM0-46172,2717953,RPOD-MONOMER,G7350,2717975,2720635,+
TU874,PM175,3515622,RPOD-MONOMER,EG11030 // EG11871 // M004 // EG10204 // EG11183,3510656 // 3511653 // 3512404 // 3513099 // 3514042,3511660 // 3512411 // 3513081 // 3513935 // 3515328,-
TU0-42497,PM0-46206,160751,RPOD-MONOMER,EG11362 // EG10230,159186 // 160149,160112 // 160604,-
TU00349,PM406,3440587,RPOD-MONOMER,EG10878 // EG10893 // EG10903 // EG10910 // EG10912,3437638 // 3438062 // 3439077 // 3439731 // 3440137,3438021 // 3439051 // 3439697 // 3440120 // 3440493,-
TU0-42571,PM00104,2980230,RPOD-MONOMER,EG11157 // EG10056,2977965 // 2978786,2978657 // 2980204,-
TU0-13799,PM0-9890,3066858,RPOD-MONOMER,EG11159,3066195,3066830,-
TU00004,PM00005,4152908,RPOD-MONOMER,EG10065 // EG10064 // EG11223,4153024 // 4154039 // 4154873,4154028 // 4154812 // 4156246,+
TU00020,PM00027,167442,RPOD-MONOMER,EG10302 // EG10304 // EG10305 // EG10303,167484 // 169778 // 170575 // 171462,169727 // 170575 // 171465 // 173444,+
TU00036,PM00045,365567,RPOD-MONOMER,EG10524 // EG10526 // EG10527,360473 // 361150 // 362455,361084 // 362403 // 365529,-
TU0-14251,PM0-9325,453573,RPOD-MONOMER,EG10125,453696,454013,+
TU00436,PM00435,3210495,RPOD-MONOMER,EG10896,3211069,3212910,+
TU0-13854,PM0-46154,3232502,RPOD-MONOMER,G7602 // G7601,3232163 // 3231750,3232477 // 3232166,-
TU00052,PM00071,400931,RPOD-MONOMER,EG10727 // EG11401,400971 // 402505,402386 // 402825,+
TU0-5162,PM0-5402,4417950,RPOD-MONOMER,G7860 // G7859 // G7858 // EG12495 // EG12494 // G7856,4421723 // 4420869 // 4420209 // 4419731 // 4419416 // 4418003,4422409 // 4421723 // 4420859 // 4420195 // 4419721 // 4419400,+
TU00068,PM00097,1384716,RPOD-MONOMER,EG11042,1384744,1386285,+
TU-8381,PM-8764,1823712,RPOD-MONOMER,G6939,1823164,1823649,-
TU0-5501,PM0-5741,3316584,RPOD-MONOMER,EG10068,3316659,3318002,+
TU0-1803,PM0-1984,1365953,RPOD-MONOMER,EG12344,1364959,1365936,-
TU00084,PM00114,3598886,RPOD-MONOMER,EG10897,3597952,3598806,-
TU0-13493,PM0-10318,2087757,RPOD-MONOMER,EG12844 // G0-9121,2087486 // 2087235,2087737 // 2087489,-
TU0-2081,PM0-2261,1173251,RPOD-MONOMER,EG11619,1169741,1173187,-
TU00487,PM00639,3342684,RPOD-MONOMER,EG10898 // EG11681 // EG11682 // EG12146 // EG12147,3342739 // 3344195 // 3344600 // 3345137 // 3345988,3344172 // 3344482 // 3345091 // 3345991 // 3346260,+
TU00100,PM00141,770393,RPOD-MONOMER,EG10173 // EG10174,770681 // 772265,772249 // 773404,+
TU0-6184,PM0-6484,2940718,RPOD-MONOMER,G0-8867,2940718,2940922,+
TU0-2502,PM00548,1328907,RPOD-MONOMER,EG11013,1329072,1331669,+
TU00503,PM00658,3980387,RPOD-MONOMER,EG30017 // EG30042 // EG30049 // EG30068,3980398 // 3980532 // 3980629 // 3980758,3980474 // 3980608 // 3980715 // 3980834,+
TU00117,PM00016,808525,RPOD-MONOMER,EG10118 // EG10121 // EG10119 // EG10120,808567 // 809604 // 810745 // 811493,809607 // 810758 // 811500 // 812170,+
TU0-1021,PM0-1181,191812,RPOD-MONOMER,EG11539,191855,192580,+
TU0-2741,PM0-2921,2550263,RPOD-MONOMER,EG12189 // EG11823,2551247 // 2550374,2552146 // 2551243,+
TU00519,PM00674,3706717,RPOD-MONOMER,EG30066,3706639,3706715,-
TU00133,PM00178,2823813,RPOD-MONOMER,G8210 // EG10969 // EG10970 // EG10971 // EG10972 // EG10974 // EG10973,2823854 // 2824414 // 2825384 // 2825759 // 2826643 // 2827069 // 2827835,2824417 // 2825373 // 2825755 // 2826538 // 2827002 // 2827842 // 2828800,+
TU0-13158,PM0-10022,1213336,RPOD-MONOMER,G6602,1212551,1213282,-
TU0-6505,PM335,4049966,RPOD-MONOMER,EG11836,4050068,4051441,+
TU0-3202,PM0-3382,3037844,RPOD-MONOMER,EG12697,3037877,3038398,+
TU142,PM339,42325,RPOD-MONOMER,EG11565 // EG11564 // EG11563 // EG11562,45463 // 44180 // 43188 // 42403,45750 // 45466 // 44129 // 43173,+
TU00166,PM00228,624054,RPOD-MONOMER,EG10261 // EG10263 // EG10260 // EG10259 // EG11105,624108 // 625293 // 626917 // 627774 // 628523,625283 // 626903 // 627774 // 628520 // 628936,+
TU355,PM206,1078148,RPOD-MONOMER,EG10801,1074143,1078105,-
TU00182,PM00254,3352531,RPOD-MONOMER,EG10403 // EG10404 // EG11514,3352654 // 3357220 // 3359198,3357207 // 3358638 // 3359962,+
TU0-36427,PM0-36203,367760,RPOD-MONOMER,EG10525 // G6201,365652 // 366811,366734 // 367644,-
TU0-14447,PM0-9680,932361,RPOD-MONOMER,G6464,932447,936436,+
TU00214,PM00003,70075,RPOD-MONOMER,EG10055 // EG10052 // EG10053,65855 // 66835 // 68348,66550 // 68337 // 70048,-
TU0-7161,PM0-7502,3806261,RPOD-MONOMER,EG11423 // EG11426 // EG11425 // EG11353 // EG11352 // EG11351 // EG11350 // EG11340 // EG11339 // EG11341,3796262 // 3797368 // 3798290 // 3799006 // 3800062 // 3801081 // 3802204 // 3803176 // 3803966 // 3805087,3797335 // 3798219 // 3798988 // 3800022 // 3801081 // 3802190 // 3803139 // 3803973 // 3805090 // 3806121,-
TU564,PM664,960940,RPOD-MONOMER,EG10441 // EG10900,963051 // 961218,963335 // 962891,+
TU0-14039,PM0-10437,3965823,RPOD-MONOMER,EG11458 // EG11457 // G7800 // EG11486 // EG11456 // EG11455 // EG11454 // EG11453 // EG11452 // EG11451 // EG11295 // EG10840,3977979 // 3976624 // 3975548 // 3974301 // 3973169 // 3972619 // 3971631 // 3970545 // 3969283 // 3968156 // 3967054 // 3965939,3978719 // 3977976 // 3976627 // 3975551 // 3974299 // 3973164 // 3972512 // 3971612 // 3970545 // 3969286 // 3968100 // 3967042,+
TU00231,PM00525,3403162,RPOD-MONOMER,EG10275 // EG10276,3403458 // 3403939,3403928 // 3405288,+
TU00247,PM00528,42037,RPOD-MONOMER,EG12608 // EG11557 // EG11558 // EG11559 // EG11560 // EG11561,34781 // 35377 // 36271 // 37898 // 39244 // 40417,35371 // 36162 // 37824 // 39115 // 40386 // 41931,-
TU0-7701,PM0-8081,4603717,RPOD-MONOMER,G7949,4602898,4603686,-
TU781,PM922,1811766,RPOD-MONOMER,G6936,1811445,1811687,-
TU00263,PM00553,156235,RPOD-MONOMER,EG11972 // EG11973,152829 // 155461,155426 // 156201,-
TU0-42457,PM0-46140,2817392,RPOD-MONOMER,EG11447,2816983,2817168,-
TU802,PM964,4392058,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438 // EG10595 // EG11281 // EG11363 // EG11757 // EG11758,4401323 // 4400061 // 4398695 // 4398311 // 4397275 // 4395435 // 4394088 // 4393608 // 4392089,4402327 // 4401320 // 4399975 // 4398619 // 4398225 // 4397282 // 4395425 // 4394069 // 4393636,+
TU00280,PM00642,3913246,RPOD-MONOMER,EG10382 // EG11198,3909862 // 3911853,3911691 // 3913223,-
TU0-42501,PM0-46215,1214729,RPOD-MONOMER,G6603,1213487,1214698,-
TU0-42525,PM0-46254,192814,RPOD-MONOMER,EG10335,192872,193429,+
TU0-42549,PM0-46299,1445418,RPOD-MONOMER,G6706,1444402,1445307,-
TU0-12993,PM0-10368,635909,RPOD-MONOMER,G6331,634572,635792,-
TU00369,PM0-5862,4250466,RPOD-MONOMER,EG11369 // EG11370,4250529 // 4251039,4251026 // 4251911,+
TU0-8874,PM0-9310,255737,RPOD-MONOMER,EG10695,254259,255716,-
TU0-14736,PM0-10349,3655823,RPOD-MONOMER,EG11544,3656389,3656916,+
TU00007,PM00009,3382699,RPOD-MONOMER,EG10070,3382725,3383195,+
TU0-14763,PM0-10411,3306108,RPOD-MONOMER,EG10215 // G0-10651,3303993 // 3305875,3305882 // 3305955,-
TU0-14791,PM0-10479,3166584,RPOD-MONOMER,G7571 // G7572,3165873 // 3166270,3166268 // 3166566,-
TU0-14794,PM0-10488,3326886,RPOD-MONOMER,EG10415,3326261,3326737,-
TU00423,PM00573,2657546,RPOD-MONOMER,EG12311 // EG11328 // EG12130 // EG12131,2654558 // 2654770 // 2655107 // 2656974,2654758 // 2655105 // 2656957 // 2657489,-
TU00039,PM00049,3550532,RPOD-MONOMER,EG10561 // EG10560,3546008 // 3548102,3548092 // 3550495,-
TU0-4981,PM0-5221,3542689,RPOD-MONOMER,G7748 // G7747,3543646 // 3542904,3544221 // 3543587,+
TU0-14254,PM0-9329,1786408,RPOD-MONOMER,EG10080,1786459,1787505,+
TU00439,PM00589,2618931,RPOD-MONOMER,EG12129 // EG11332,2616893 // 2618268,2618182 // 2618894,-
TU00055,PM00076,2595803,RPOD-MONOMER,EG10791,2594927,2595640,-
TU0-13079,PM0-46189,936551,RPOD-MONOMER,EG12690 // G6465,937217 // 936592,938560 // 937206,+
TU0-1601,PM0-1781,3371642,RPOD-MONOMER,G7675 // G7676 // G7677 // G436 // EG10637,3367036 // 3367497 // 3368369 // 3369106 // 3370705,3367500 // 3368372 // 3369058 // 3370596 // 3371598,-
TU00456,PM00606,4275470,RPOD-MONOMER,EG10957,4275492,4275956,+
TU00071,PM00100,3995930,RPOD-MONOMER,EG11064,3996006,3998168,+
TU0-1822,PM0-2002,594685,RPOD-MONOMER,G6318 // G6319,592551 // 593983,593993 // 594666,-
TU00087,PM00124,4265105,RPOD-MONOMER,EG11040,4265137,4266330,+
TU0-2121,PM0-2301,891099,RPOD-MONOMER,G6447 // EG10852,892180 // 891190,892656 // 892092,+
TU00490,PM00645,262065,RPOD-MONOMER,EG30104,262095,262170,+
TU00104,PM00146,1686464,RPOD-MONOMER,EG10356,1684755,1686401,-
TU0-13514,PM0-9620,2183849,RPOD-MONOMER,G7139 // G7138,2184982 // 2183939,2185320 // 2184763,+
TU0-13128,PM0-10244,1120732,RPOD-MONOMER,G6558,1120465,1120710,-
TU0-6281,PM00494,4161422,RPOD-MONOMER,EG11204 // EG10126,4163451 // 4161662,4164308 // 4163506,+
TU00506,PM00661,4494409,RPOD-MONOMER,EG30053,4494428,4494512,+
TU00120,PM00163,4434652,RPOD-MONOMER,EG10160,4432645,4434588,-
TU0-1061,PM0-1221,4040414,RPOD-MONOMER,EG11297 // EG11831,4041441 // 4040438,4042067 // 4041424,+
TU0-14354,PM0-10401,1886085,RPOD-MONOMER,EG10858,1884888,1886015,-
TU00136,PM00184,1976419,RPOD-MONOMER,EG10319 // EG10320,1975290 // 1975871,1975868 // 1976221,-
TU163,PM223,3534777,RPOD-MONOMER,EG10269 // EG10672,3532538 // 3533887,3533890 // 3534606,-
TU0-6562,PM00329,218837,RPOD-MONOMER,EG10770,217057,218775,-
TU00169,PM00232,2175256,RPOD-MONOMER,EG12417 // EG12416 // EG12415 // EG12414 // G7128 // EG12419,2169857 // 2170945 // 2172304 // 2172619 // 2173081 // 2174372,2170897 // 2172300 // 2172588 // 2173071 // 2174343 // 2175226,-
TU0-36411,PM0-36155,1313420,RPOD-MONOMER,EG11125,1312742,1313248,-
TU359,PM440,4363415,RPOD-MONOMER,EG12177,4363041,4363379,-
TU00185,PM00258,2976973,RPOD-MONOMER,EG10549,2975659,2976921,-
TU0-6686,PM00389,1993430,RPOD-MONOMER,EG11063 // EG11140,1990898 // 1992727,1992730 // 1993383,-
TU0-36432,PM0-36210,3339741,RPOD-MONOMER,EG11680 // G7665 // G7664 // G7663,3341966 // 3341402 // 3340858 // 3340295,3342691 // 3341959 // 3341433 // 3340861,+
TU00201,PM00284,4323229,RPOD-MONOMER,EG10725 // EG10724 // EG10723 // EG10722 // EG10721 // EG10720 // EG10719 // EG10718 // EG10717 // EG10716 // EG10715 // G7822 // EG11283 // EG10714 // EG10713,4312367 // 4313127 // 4313548 // 4314105 // 4315238 // 4316029 // 4316784 // 4317622 // 4318686 // 4319267 // 4319720 // 4320466 // 4320684 // 4321359 // 4322400,4313125 // 4313561 // 4314105 // 4315241 // 4315918 // 4316787 // 4317629 // 4318686 // 4319270 // 4319719 // 4320445 // 4320834 // 4321304 // 4322375 // 4323188,-
TU0-8691,PM0-9127,1272983,RPOD-MONOMER,EG12405,1273148,1274401,+
TU521,PM00427,2911851,RPOD-MONOMER,EG11249 // EG10571 // EG10835,2908778 // 2909113 // 2909439,2909113 // 2909361 // 2911673,-
TU00218,PM00054,4130569,RPOD-MONOMER,EG10585,4130639,4131529,+
TU0-7164,PM0-7507,3806279,RPOD-MONOMER,EG10520,3806563,3807840,+
TU0-12854,PM0-9802,251969,RPOD-MONOMER,G6118 // G6117 // G6116,252709 // 252301 // 252005,253161 // 252699 // 252298,+
TU582,PM682,1347153,RPOD-MONOMER,EG11620,1345002,1346936,-
TU0-14042,PM0-10344,3992515,RPOD-MONOMER,EG11202 // EG11069 // EG11201 // EG10209 // G0-10471,3995206 // 3994310 // 3993606 // 3992785 // 3992545,3995922 // 3995206 // 3994313 // 3993609 // 3992748,+
TU00234,PM0-8727,3411724,RPOD-MONOMER,EG10266 // EG10267,3411886 // 3413055,3413043 // 3416159,+
TU0-13266,PM0-10389,1507245,RPOD-MONOMER,G6749 // G0-10451,1507511 // 1507310,1507948 // 1507486,+
TU0-14519,PM0-9799,3469746,RPOD-MONOMER,EG11036,3468167,3469351,-
TU00250,PM0-1421,4446425,RPOD-MONOMER,EG11250 // EG12096,4446470 // 4446715,4446721 // 4447065,+
TU0-13299,PM0-10233,1599281,RPOD-MONOMER,G6798 // G6799,1596641 // 1598312,1598233 // 1599265,-
TU0-42460,PM0-46156,852287,RPOD-MONOMER,G0-8881 // G0-10715,851948 // 852092,852287 // 852220,-
TU0-12921,PM0-9643,432201,RPOD-MONOMER,EG10704 // G6234 // EG10666 // EG11322 // EG11321 // EG11320,435813 // 434858 // 434361 // 433871 // 432679 // 432226,436331 // 435835 // 434780 // 434341 // 433782 // 432675,+
TU00302,PM0-4427,865617,RPOD-MONOMER,EG10154 // EG10153,863603 // 864352,864352 // 865587,-
TU0-8241,PM0-8621,1946209,RPOD-MONOMER,EG10925 // EG11137,1944879 // 1945435,1945400 // 1946175,-
TU0-42508,PM00250,83735,RPOD-MONOMER,EG11280,83622,83708,-
TU00320,PM124,1675999,RPOD-MONOMER,EG10745 // EG10744,1672996 // 1674395,1674384 // 1675927,-
TU0-13350,PM0-45010,1700226,RPOD-MONOMER,EG10030,1700257,1701258,+
TU0-42558,PM0-46303,3016972,RPOD-MONOMER,G7498,3017183,3018511,+
TU0-42580,PM00033,791309,RPOD-MONOMER,EG10362,790262,791278,-
TU00010,PM00012,1786342,RPOD-MONOMER,EG10080,1786459,1787505,+
TU0-4623,PM0-4863,3604445,RPOD-MONOMER,EG12215,3604474,3606672,+
TU0-14766,PM0-10448,4554599,RPOD-MONOMER,G7923,4555016,4555408,+
TU0-13823,PM0-36133,3153324,RPOD-MONOMER,G7565 // G7564,3154645 // 3153377,3155472 // 3154540,+
TU00026,PM00033,791309,RPOD-MONOMER,EG11698 // EG10363 // EG10366 // EG10362,787020 // 788054 // 789206 // 790262,788060 // 789202 // 790252 // 791278,-
TU00042,PM00055,4221806,RPOD-MONOMER,EG10587,4221851,4225534,+
TU0-13468,PM0-45171,2036864,RPOD-MONOMER,G7058,2036980,2037393,+
TU00058,PM00080,2619175,RPOD-MONOMER,EG10798 // EG10799,2619219 // 2620256,2620256 // 2620894,+
TU0-14287,PM0-9414,4233881,RPOD-MONOMER,EG11926 // EG11925 // EG11924 // EG11923,4235657 // 4234920 // 4234285 // 4233929,4237753 // 4235657 // 4234923 // 4234171,+
TU00460,PM00207,4516305,RPOD-MONOMER,EG10292 // EG10291,4514787 // 4515737,4515740 // 4516258,-
TU00074,PM00102,638144,RPOD-MONOMER,EG11384 // EG11385,638168 // 638976,638731 // 640541,+
TU-8388,PM-8771,2960529,RPOD-MONOMER,EG10825,2957082,2960450,-
TU0-1902,PM0-2083,3372788,RPOD-MONOMER,G7679,3372891,3374258,+
TU00090,PM00128,3955935,RPOD-MONOMER,EG10495,3955993,3957468,+
TU0-13115,PM0-9399,1080530,RPOD-MONOMER,G0-10495 // G6525,1080677 // 1080579,1081408 // 1080689,+
TU-8407,PM0-9361,1143951,RPOD-MONOMER,EG10859,1140405,1143590,-
TU0-2342,PM0-2522,3056571,RPOD-MONOMER,EG10944,3055200,3056432,-
TU00493,PM00648,1744439,RPOD-MONOMER,EG30111 // EG30112,1744459 // 1744540,1744535 // 1744616,+
TU00107,PM00149,1194231,RPOD-MONOMER,EG10489,1194346,1195596,+
TU00509,PM00664,1030942,RPOD-MONOMER,EG30093,1030848,1030935,-
TU00123,PM00048,4244759,RPOD-MONOMER,EG10558 // EG10528 // EG10559,4244807 // 4245994 // 4247577,4245922 // 4247334 // 4248497,+
TU0-3104,PM0-3284,2716697,RPOD-MONOMER,EG11887,2716757,2717176,+
TU00139,PM00191,1292181,RPOD-MONOMER,EG10457,1291732,1292145,-
TU0-1190,PM0-1350,223593,RPOD-MONOMER,EG30076 // EG30083 // EG30010 // EG30045 // EG30090,228756 // 225759 // 225500 // 225381 // 223771,228875 // 228662 // 225575 // 225457 // 225312,+
TU0-3364,PM0-3564,4164507,RPOD-MONOMER,EG30071 // EG30078 // EG30032 // EG30085,4169660 // 4166664 // 4166395 // 4164682,4169779 // 4169567 // 4166470 // 4166223,+
TU0-14377,PM0-9517,3453532,RPOD-MONOMER,EG11263 // G7701,3451530 // 3451951,3451949 // 3453420,-
TU183,PM242,4539894,RPOD-MONOMER,EG10312,4540060,4540656,+
TU00156,PM00214,1277000,RPOD-MONOMER,EG10643 // EG10646,1274402 // 1275045,1275052 // 1276841,-
TU306,PM384,1267077,RPOD-MONOMER,EG10518,1267388,1268242,+
TU0-12807,PM0-9884,84188,RPOD-MONOMER,EG10531,84368,85312,+
TU0-14422,PM0-9623,,RPOD-MONOMER,G0-10634,2698139,2698219,-
TU363,PM444,2301599,RPOD-MONOMER,EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068,2289380 // 2290429 // 2290983 // 2292923 // 2293399 // 2293605 // 2294384 // 2295043 // 2295679 // 2296291 // 2296737 // 2297587 // 2298289 // 2300772 // 2301025,2290432 // 2290986 // 2292926 // 2293402 // 2293608 // 2294342 // 2295046 // 2295666 // 2296281 // 2296740 // 2297600 // 2298282 // 2300775 // 2301035 // 2301519,-
TU00188,PM00262,4112522,RPOD-MONOMER,EG10628,4111749,4112495,-
TU0-6821,PM0-7161,629096,RPOD-MONOMER,EG10167,629117,631222,+
TU482,PM582,3272956,RPOD-MONOMER,EG30069 // EG11175 // EG11176 // EG10016 // EG12760,3268238 // 3268647 // 3269889 // 3270809 // 3271595,3268614 // 3269873 // 3270779 // 3271579 // 3272929,-
TU00204,PM00288,3084070,RPOD-MONOMER,EG10960 // EG10959,3080899 // 3081957,3081819 // 3083933,-
TU0-7,PM0-8,4589435,RPOD-MONOMER,EG11034,4589680,4591335,+
TU524,PM00474,3948241,RPOD-MONOMER,G0-10641 // G8221 // EG10493 // EG10496 // EG10497 // EG10501 // EG10498 // EG11270,3948530 // 3948583 // 3953354 // 3951501 // 3950507 // 3950224 // 3949646 // 3948345,3948580 // 3949566 // 3954898 // 3953351 // 3951436 // 3950487 // 3950227 // 3948443,+
TU00221,PM00305,4352828,RPOD-MONOMER,EG10553,4351223,4352740,-
TU0-12857,PM0-10206,256502,RPOD-MONOMER,EG11091,256527,257771,+
TU0-41857,PM0-45079,1860488,RPOD-MONOMER,EG12394,1860040,1860453,-
TU00253,PM00603,4633500,RPOD-MONOMER,EG11217 // EG11218 // EG10730 // EG10145,4633544 // 4634030 // 4634719 // 4636201,4634017 // 4634719 // 4636143 // 4637553,+
TU0-7746,PM0-9856,2492455,RPOD-MONOMER,G7234 // G7235 // G7236 // G7237 // G7238,2486045 // 2487264 // 2488278 // 2490026 // 2491789,2487190 // 2488208 // 2489972 // 2491276 // 2492424,-
TU0-12889,PM0-9569,331263,RPOD-MONOMER,EG11236,331595,332683,+
TU789,PM934,1666627,RPOD-MONOMER,G6852,1665368,1666588,-
TU00269,PM0-8860,3538079,RPOD-MONOMER,EG12933 // EG12101 // EG12102,3540750 // 3538185 // 3538429,3540986 // 3538412 // 3540750,+
TU0-7901,PM0-8281,2237413,RPOD-MONOMER,EG10594 // EG10592,2234765 // 2235791,2235775 // 2237311,-
TU0-14568,PM0-9871,4398243,RPOD-MONOMER,EG10435 // EG10436 // EG10437 // EG10438,4401323 // 4400061 // 4398695 // 4398311,4402327 // 4401320 // 4399975 // 4398619,+
TU864,PM00362,1084088,RPOD-MONOMER,EG11734,1084215,1085279,+
TU00305,PM125,2301596,RPOD-MONOMER,EG12052 // EG12053 // EG12054 // EG12055 // EG12169 // EG12057 // EG12058 // EG12059 // EG12060 // EG12061 // EG12062 // EG12064 // EG12067 // EG12143 // EG12068,2289380 // 2290429 // 2290983 // 2292923 // 2293399 // 2293605 // 2294384 // 2295043 // 2295679 // 2296291 // 2296737 // 2297587 // 2298289 // 2300772 // 2301025,2290432 // 2290986 // 2292926 // 2293402 // 2293608 // 2294342 // 2295046 // 2295666 // 2296281 // 2296740 // 2297600 // 2298282 // 2300775 // 2301035 // 2301519,-
TU0-42534,PM0-10220,1724045,RPOD-MONOMER,G6891 // G6890 // G6889,1725861 // 1724683 // 1724047,1726268 // 1725780 // 1724646,+
TU0-42561,PM0-46306,3380195,RPOD-MONOMER,EG11652,3380222,3381289,+
TU00359,PM0-7801,136940,RPOD-MONOMER,EG11089 // EG10962 // EG10963,136570 // 134788 // 135598,136917 // 135582 // 136464,-
TU00375,PM00200,2477143,RPOD-MONOMER,EG10249,2477224,2478552,+
TU0-962,PM0-1122,1327325,RPOD-MONOMER,EG10956,1327356,1328405,+
TU0-8473,PM0-8909,1710695,RPOD-MONOMER,G6877,1710793,1712295,+
TU0-14742,PM0-10366,3656085,RPOD-MONOMER,EG12241 // EG12240 // EG11544,3658437 // 3657255 // 3656389,3661550 // 3658412 // 3656916,+
TU00013,PM00015,808515,RPOD-MONOMER,EG10117,807191,808480,-
TU0-4681,PM0-4921,4492620,RPOD-MONOMER,EG12152,4492646,4493209,+
TU0-14771,PM0-10453,1905817,RPOD-MONOMER,EG12204 // G7000,1905250 // 1905472,1905459 // 1905615,-
TU00408,PM00558,765149,RPOD-MONOMER,EG11109,764376,765098,-
